stepcount,actiontime,target_temp,current_temp,Pval,Ival,Dval,outcome
1805,11-23-50,60,62.937,-2.9369999999999976,0,0.0,0
1806,11-23-52,60,63.062,-3.0619999999999976,0,0.125,0
1807,11-23-55,60,63.062,-3.0619999999999976,0,0.0,0
1808,11-23-58,60,63.062,-3.0619999999999976,0,0.0,0
1809,11-24-01,60,63.125,-3.125,0,0.06300000000000239,0
1810,11-24-03,60,63.125,-3.125,0,0.0,0
1811,11-24-06,60,63.062,-3.0619999999999976,0,-0.06300000000000239,0
1812,11-24-09,60,63.0,-3.0,0,-0.06199999999999761,0
1813,11-24-11,60,63.062,-3.0619999999999976,0,0.06199999999999761,0
1814,11-24-14,60,63.0,-3.0,0,-0.06199999999999761,0
1815,11-24-17,60,63.0,-3.0,0,0.0,0
1816,11-24-20,60,63.0,-3.0,0,0.0,0
1817,11-24-22,60,62.937,-2.9369999999999976,0,-0.06300000000000239,0
1818,11-24-25,60,63.0,-3.0,0,0.06300000000000239,0
1819,11-24-28,60,63.0,-3.0,0,0.0,0
1820,11-24-31,60,62.937,-2.9369999999999976,0,-0.06300000000000239,0
1821,11-24-33,60,63.062,-3.0619999999999976,0,0.125,0
1822,11-24-36,60,63.0,-3.0,0,-0.06199999999999761,0
1823,11-24-39,60,63.0,-3.0,0,0.0,0
1824,11-24-41,60,63.0,-3.0,0,0.0,0
1825,11-24-44,60,63.0,-3.0,0,0.0,0
1826,11-24-47,60,63.0,-3.0,0,0.0,0
1827,11-24-50,60,63.062,-3.0619999999999976,0,0.06199999999999761,0
1828,11-24-52,60,63.0,-3.0,0,-0.06199999999999761,0
1829,11-24-55,60,62.937,-2.9369999999999976,0,-0.06300000000000239,0
1830,11-24-58,60,62.937,-2.9369999999999976,0,0.0,0
1831,11-25-01,60,62.937,-2.9369999999999976,0,0.0,0
1832,11-25-03,60,62.875,-2.875,0,-0.06199999999999761,0
1833,11-25-06,60,62.812,-2.8119999999999976,0,-0.06300000000000239,0
1834,11-25-09,60,62.812,-2.8119999999999976,0,0.0,0
1835,11-25-11,60,62.75,-2.75,0,-0.06199999999999761,0
1836,11-25-14,60,62.812,-2.8119999999999976,0,0.06199999999999761,0
1837,11-25-17,60,62.75,-2.75,0,-0.06199999999999761,0
1838,11-25-20,60,62.75,-2.75,0,0.0,0
1839,11-25-22,60,62.75,-2.75,0,0.0,0
1840,11-25-25,60,62.75,-2.75,0,0.0,0
